total_events,events_per_minute,cnt_1,cnt_3,cnt_7,cnt_8,cnt_12,cnt_13,cnt_22,cnt_4103,cnt_4104,cnt_4624,cnt_4625,cnt_4648,cnt_4672,cnt_4688,cnt_4697,cnt_4698,cnt_4702,cnt_4768,cnt_4769,cnt_4771,logon_success_score,logon_failure_score,explicit_creds_score,special_privs_score,service_create_score,wmi_score,kerberos_tgs_score,kerberos_tgt_score,process_create_score,network_conn_score,remote_thread_score,image_load_score,registry_score,distinct_target_users,distinct_src_users,distinct_src_ips,distinct_logon_types,network_logon_ratio,rdp_logon_ratio,logon_failure_ratio,entropy_eventids,distinct_eventids
244,48.8,0,2,1,0,100,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,161,0,1,0,0,0.0,0.0,0.0,2.1650722014084174,10
122,24.4,0,11,28,0,7,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,11,0,28,7,1,2,2,1,1.0,0.0,0.0,2.7407648420424846,12
161,32.2,0,0,0,0,0,0,0,0,0,7,0,0,7,1,0,0,0,0,1,0,7,0,0,7,0,0,1,0,1,0,0,0,0,5,3,4,2,0.9090909090909091,0.0,0.0,3.4157462299054138,18
805,161.0,3,9,165,0,164,62,4,9,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,13,0,165,226,2,3,0,0,0.0,0.0,0.0,3.507620654778471,26
388,77.6,0,0,0,0,32,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,1,0,0,0.0,0.0,0.0,2.425789555791633,11
699,139.8,4,3,113,0,38,10,0,0,0,3,0,0,3,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,8,3,0,113,48,5,4,1,1,1.0,0.0,0.0,3.1860636290719313,34
2564,512.8,0,0,0,0,0,0,0,169,34,22,0,0,18,3,0,0,0,0,2,0,22,0,0,18,0,203,2,0,3,0,0,0,0,5,3,5,1,1.0,0.0,0.0,3.0705445925225914,27
31411,6282.2,80,73,5194,1,15228,2160,22,108,1,2,0,0,2,11,0,0,0,0,0,0,2,0,0,2,0,109,0,0,91,95,1,5194,17388,4,5,1,1,1.0,0.0,0.0,2.1680264511245677,40
3511,702.2,0,0,0,0,0,0,0,273,34,27,0,0,27,3,0,0,0,0,2,0,27,0,0,27,0,307,2,0,3,0,0,0,0,3,2,3,1,1.0,0.0,0.0,2.983347932077708,26
428,85.6,2,33,74,0,45,33,0,0,0,9,0,0,8,2,0,0,1,0,0,0,9,0,0,8,1,0,0,0,4,33,0,74,78,4,3,4,1,1.0,0.0,0.0,3.966184296285467,28
2003,400.6,5,5,333,0,735,78,1,97,1,3,0,0,3,5,0,0,0,0,0,0,3,0,0,3,0,98,0,0,10,6,0,333,813,4,4,0,1,1.0,0.0,0.0,3.18359872371751,36
2128,425.6,10,3,508,1,726,71,4,0,0,1,0,0,1,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20,7,1,508,797,4,3,0,1,0.0,0.0,0.0,2.7158338439395124,35
690,138.0,3,1,75,0,54,273,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,75,327,1,2,0,0,0.0,0.0,0.0,2.98827660951059,20
