total_events,events_per_minute,cnt_1,cnt_3,cnt_5,cnt_7,cnt_8,cnt_9,cnt_11,cnt_12,cnt_13,cnt_22,cnt_23,cnt_800,cnt_4103,cnt_4104,cnt_4624,cnt_4625,cnt_4634,cnt_4648,cnt_4656,cnt_4658,cnt_4663,cnt_4672,cnt_4673,cnt_4674,cnt_4688,cnt_4689,cnt_4690,cnt_4697,cnt_4698,cnt_4702,cnt_4768,cnt_4769,cnt_4771,cnt_5145,cnt_5154,cnt_5156,cnt_5158,cnt_5447,logon_success_score,logon_failure_score,logoff_score,explicit_creds_score,special_privs_score,sensitive_priv_score,priv_object_score,service_create_score,powershell_score,kerberos_tgs_score,kerberos_tgt_score,process_create_score,process_terminate_score,network_conn_score,wfp_listen_score,wfp_connect_score,wfp_bind_score,wfp_block_score,smb_share_score,remote_thread_score,raw_access_score,image_load_score,file_create_score,file_delete_score,registry_score,object_handle_req_score,object_handle_cls_score,object_access_score,token_duplication_score,distinct_target_users,distinct_src_users,distinct_src_ips,distinct_logon_types,entropy_target_users,entropy_src_users,entropy_src_ips,unique_user_host_pairs,network_logon_ratio,rdp_logon_ratio,logon_failure_ratio,entropy_eventids,distinct_eventids,distinct_monitored,logon_success_score_roll3_mean,logon_success_score_roll3_std,logon_success_score_delta,logon_failure_score_roll3_mean,logon_failure_score_roll3_std,logon_failure_score_delta,logoff_score_roll3_mean,logoff_score_roll3_std,logoff_score_delta,explicit_creds_score_roll3_mean,explicit_creds_score_roll3_std,explicit_creds_score_delta,special_privs_score_roll3_mean,special_privs_score_roll3_std,special_privs_score_delta,sensitive_priv_score_roll3_mean,sensitive_priv_score_roll3_std,sensitive_priv_score_delta,priv_object_score_roll3_mean,priv_object_score_roll3_std,priv_object_score_delta,service_create_score_roll3_mean,service_create_score_roll3_std,service_create_score_delta,powershell_score_roll3_mean,powershell_score_roll3_std,powershell_score_delta,kerberos_tgs_score_roll3_mean,kerberos_tgs_score_roll3_std,kerberos_tgs_score_delta,kerberos_tgt_score_roll3_mean,kerberos_tgt_score_roll3_std,kerberos_tgt_score_delta,process_create_score_roll3_mean,process_create_score_roll3_std,process_create_score_delta,process_terminate_score_roll3_mean,process_terminate_score_roll3_std,process_terminate_score_delta,network_conn_score_roll3_mean,network_conn_score_roll3_std,network_conn_score_delta,wfp_listen_score_roll3_mean,wfp_listen_score_roll3_std,wfp_listen_score_delta,wfp_connect_score_roll3_mean,wfp_connect_score_roll3_std,wfp_connect_score_delta,wfp_bind_score_roll3_mean,wfp_bind_score_roll3_std,wfp_bind_score_delta,wfp_block_score_roll3_mean,wfp_block_score_roll3_std,wfp_block_score_delta,smb_share_score_roll3_mean,smb_share_score_roll3_std,smb_share_score_delta,remote_thread_score_roll3_mean,remote_thread_score_roll3_std,remote_thread_score_delta,raw_access_score_roll3_mean,raw_access_score_roll3_std,raw_access_score_delta,image_load_score_roll3_mean,image_load_score_roll3_std,image_load_score_delta,file_create_score_roll3_mean,file_create_score_roll3_std,file_create_score_delta,file_delete_score_roll3_mean,file_delete_score_roll3_std,file_delete_score_delta,registry_score_roll3_mean,registry_score_roll3_std,registry_score_delta,object_handle_req_score_roll3_mean,object_handle_req_score_roll3_std,object_handle_req_score_delta,object_handle_cls_score_roll3_mean,object_handle_cls_score_roll3_std,object_handle_cls_score_delta,object_access_score_roll3_mean,object_access_score_roll3_std,object_access_score_delta,token_duplication_score_roll3_mean,token_duplication_score_roll3_std,token_duplication_score_delta,total_events_roll3_mean,total_events_roll3_std,total_events_delta,events_per_minute_roll3_mean,events_per_minute_roll3_std,events_per_minute_delta,entropy_eventids_roll3_mean,entropy_eventids_roll3_std,entropy_eventids_delta,distinct_eventids_roll3_mean,distinct_eventids_roll3_std,distinct_eventids_delta,logon_failure_ratio_roll3_mean,logon_failure_ratio_roll3_std,logon_failure_ratio_delta,network_logon_ratio_roll3_mean,network_logon_ratio_roll3_std,network_logon_ratio_delta,entropy_target_users_roll3_mean,entropy_target_users_roll3_std,entropy_target_users_delta,entropy_src_users_roll3_mean,entropy_src_users_roll3_std,entropy_src_users_delta,unique_user_host_pairs_roll3_mean,unique_user_host_pairs_roll3_std,unique_user_host_pairs_delta
93,18.6,0,11,0,20,0,0,2,6,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,27,17,0,2,0,2,0,2,0,0,0,0,1,0,0,0,11,0,27,17,0,0,0,0,20,2,0,6,0,0,0,0,2,2,2,1,0.5916727782937884,0.9182958337659504,0.9182958337659504,2,1.0,0.0,0.0,2.7986113301643902,12,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,65.0,3,1,2,103,0,6,5,22,2,0,0,0,0,0,1,0,0,0,9,16,8,1,1,5,3,2,8,0,0,0,0,0,0,0,0,17,19,0,1,0,0,0,1,1,5,0,0,0,0,6,4,1,0,17,19,0,0,0,6,103,5,0,24,9,16,8,8,3,3,0,1,1.2954618438055134,0.9727642511687363,0.0,3,1.0,0.0,0.0,3.198078642114261,25,20,2.0,0.0,-1.0,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,11.0,0.0,-10.0,0.0,0.0,0.0,27.0,0.0,-10.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,83.0,2.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,18.0,0.0,0.0,9.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,8.0,93.0,0.0,232.0,18.6,0.0,46.4,2.7986113301643902,0.0,0.39946731194987084,12.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5916727782937884,0.0,0.703789065511725,0.9182958337659504,0.0,0.05446841740278596,2.0,0.0,1.0
393,78.6,0,6,0,42,0,0,4,14,14,1,2,3,0,0,0,0,0,0,39,78,35,0,0,0,0,0,39,0,0,0,0,0,0,0,0,17,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,17,20,0,0,0,0,42,4,2,28,39,78,35,39,0,2,0,0,0.0,0.639792279035319,0.0,2,0.0,0.0,0.0,3.4625304716555148,20,14,1.5,0.7071067811865476,-1.0,0.0,0.0,0.0,1.0,1.4142135623730951,0.0,0.0,0.0,0.0,1.5,0.7071067811865476,-1.0,0.5,0.7071067811865476,-1.0,2.5,3.5355339059327378,-5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,3.0,4.242640687119285,-6.0,2.0,2.8284271247461903,-4.0,6.0,7.0710678118654755,6.0,0.0,0.0,0.0,22.0,7.0710678118654755,0.0,18.0,1.4142135623730951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.242640687119285,-6.0,61.5,58.68986283848344,-61.0,3.5,2.1213203435596424,-1.0,0.0,0.0,2.0,15.0,12.727922061357855,4.0,4.5,6.363961030678928,30.0,8.0,11.313708498984761,62.0,4.0,5.656854249492381,27.0,4.0,5.656854249492381,31.0,209.0,164.04877323527901,68.0,41.8,32.809754647055804,13.599999999999994,2.9983449861393257,0.28246604514211565,0.2644518295412537,18.5,9.192388155425117,-5.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.943567311049651,0.4976540207482841,-1.2954618438055134,0.9455300424673434,0.03851498730600927,-0.33297197213341734,2.5,0.7071067811865476,-1.0
244,48.8,0,2,2,1,0,0,2,100,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,10,12,0,0,0,0,1,2,0,161,0,0,0,0,0,1,0,0,0.0,-1.4426951601859516e-10,0.0,1,0.0,0.0,0.0,2.1650722014084174,10,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,29,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,10,29,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0.8112781241705938,0.9182958337659504,0.9999999997114609,2,1.0,0.0,0.0,1.5025968492734747,7,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-4.0,2.0,0.0,-2.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,2.0,0.0,-2.0,0.0,0.0,0.0,161.0,0.0,-161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,-200.0,48.8,0.0,-40.0,2.1650722014084174,0.0,-0.6624753521349427,10.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8112781241705938,-1.4426951601859516e-10,0.0,0.9182958339102198,1.0,0.0,1.0
218,43.6,0,1,1,0,0,0,3,145,15,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,8,8,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,0,8,8,0,3,0,0,0,3,0,160,0,0,0,0,1,3,1,1,-1.4426951601859516e-10,1.2243944449731774,-1.4426951601859516e-10,3,1.0,0.0,0.0,1.8618452650485084,15,12,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.8284271247461903,2.0,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,10.0,0.0,-2.0,20.5,12.020815280171307,-21.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.0,1.0,1.4142135623730951,3.0,0.0,0.0,0.0,80.5,113.84419177103415,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,141.4213562373095,174.0,28.799999999999997,28.2842712474619,34.8,1.833834525340946,0.46844081386356395,0.35924841577503375,8.5,2.1213203435596424,8.0,0.0,0.0,0.0,0.5,0.7071067811865476,0.0,0.4056390620852969,0.5736602630293288,-0.8112781243148632,0.45914791681084044,0.649333211293272,0.30609861120722703,1.5,0.7071067811865476,1.0
7064,1412.8,14,28,19,933,0,32,459,2040,1923,18,52,0,0,0,4,0,0,0,93,162,76,4,29,39,15,19,81,0,1,0,0,0,0,0,2,61,82,0,4,0,0,0,4,29,39,1,0,0,0,29,38,46,2,61,82,0,0,0,32,933,459,52,3963,93,162,76,81,8,6,1,2,1.5138251304763521,1.902037178346347,-1.4426951601859516e-10,6,0.5,0.0,0.0,3.0046520969584343,45,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,47.4,0,43,3,25,0,0,5,10,0,0,0,0,0,0,6,0,8,0,0,1,0,3,2,0,0,3,0,0,0,0,0,2,0,0,0,81,37,0,6,0,8,0,3,2,0,0,0,2,0,0,6,43,0,81,37,0,0,0,0,25,5,0,10,0,1,0,0,5,3,4,1,1.8010981702859172,1.3127443526765659,1.9056390616524883,3,1.0,0.0,0.0,2.927491989640838,16,14,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,-1.0,29.0,0.0,-27.0,39.0,0.0,-39.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29.0,0.0,-29.0,38.0,0.0,-32.0,46.0,0.0,-3.0,2.0,0.0,-2.0,61.0,0.0,20.0,82.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,-32.0,933.0,0.0,-908.0,459.0,0.0,-454.0,52.0,0.0,-52.0,3963.0,0.0,-3953.0,93.0,0.0,-93.0,162.0,0.0,-161.0,76.0,0.0,-76.0,81.0,0.0,-81.0,7064.0,0.0,-6827.0,1412.8,0.0,-1365.3999999999999,3.0046520969584343,0.0,-0.07716010731759626,45.0,0.0,-29.0,0.0,0.0,0.0,0.5,0.0,0.5,1.5138251304763521,0.0,0.2872730398095651,1.902037178346347,0.0,-0.5892928256697811,6.0,0.0,-3.0
820,164.0,3,6,0,76,0,0,7,127,309,0,1,0,0,0,0,0,0,0,31,61,21,0,4,0,3,0,31,0,0,0,0,0,0,0,0,22,41,0,0,0,0,0,0,4,0,0,0,0,0,6,0,6,0,22,41,0,0,0,0,76,7,1,436,31,61,21,31,2,2,0,0,0.9709505941661296,0.9701807996029281,0.0,2,0.0,0.0,0.0,2.990517523417041,20,15,5.0,1.4142135623730951,-6.0,0.0,0.0,0.0,4.0,5.656854249492381,-8.0,0.0,0.0,0.0,3.5,0.7071067811865476,-3.0,15.5,19.091883092036785,2.0,19.5,27.577164466275352,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,1.4142135623730951,-2.0,0.0,0.0,0.0,14.5,20.506096654409877,6.0,22.0,22.627416997969522,-6.0,44.5,2.1213203435596424,-37.0,1.0,1.4142135623730951,0.0,71.0,14.142135623730951,-59.0,59.5,31.81980515339464,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,22.627416997969522,0.0,479.0,642.0529573173851,51.0,232.0,321.02647865869255,2.0,26.0,36.76955262170047,1.0,1986.5,2795.1931060304223,426.0,46.5,65.76093065034893,31.0,81.5,113.84419177103415,60.0,38.0,53.74011537017761,21.0,40.5,57.27564927611035,31.0,3650.5,4827.41799516056,583.0,730.1,965.483599032112,116.6,2.9660720432996364,0.05456043512135422,0.0630255337762029,30.5,20.506096654409877,4.0,0.0,0.0,0.0,0.75,0.3535533905932738,-1.0,1.6574616503811348,0.20313271450141643,-0.8301475761197876,1.6073907655114565,0.41669295313568433,-0.3425635530736377,4.5,2.1213203435596424,-1.0
122,24.4,0,11,0,28,0,0,3,7,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,27,34,0,2,0,3,0,2,0,0,0,0,0,0,0,0,11,0,27,34,0,0,0,0,28,3,0,7,0,0,0,0,1,2,2,1,-1.4426951601859516e-10,0.9852281357457124,0.9182958337659504,2,1.0,0.0,0.0,2.7407648420424846,12,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
