feature,importance
entropy_eventids,0.08487841316929262
total_events,0.08152531869640715
distinct_eventids,0.07585983675574884
cnt_12,0.07199088073158902
events_per_minute,0.06943513322803802
cnt_13,0.062326890843188175
registry_score,0.061929156194264534
network_conn_score,0.05805214720741118
image_load_score,0.05241049764527242
cnt_7,0.050027776126084236
cnt_3,0.03804301265942006
cnt_4103,0.03592756373557928
wmi_score,0.02492179575347538
distinct_src_users,0.023528035905511648
cnt_4624,0.021907055197597954
logon_success_score,0.021484617413733677
cnt_4672,0.021421051139699138
special_privs_score,0.021250733661778393
distinct_target_users,0.02009212772048902
distinct_src_ips,0.01982898040427706
cnt_22,0.01312228617081072
cnt_4769,0.01300833484216665
cnt_1,0.012570628705837052
kerberos_tgs_score,0.010148260601876555
process_create_score,0.008831508056111447
cnt_4688,0.00639717952810469
service_create_score,0.004878450223109805
distinct_logon_types,0.004094685479881775
network_logon_ratio,0.0038614893196464296
cnt_4104,0.002904838045789402
cnt_4697,0.0012234560615621455
cnt_4702,0.001085654267747196
cnt_4768,0.000879550960496022
explicit_creds_score,0.0001526535480023934
cnt_4648,7.836124323826713e-18
remote_thread_score,2.455099757026957e-18
cnt_4698,1.9039435919368465e-18
cnt_8,1.315550687117206e-18
kerberos_tgt_score,8.707631565687502e-19
cnt_4625,0.0
cnt_4771,0.0
logon_failure_score,0.0
logon_failure_ratio,0.0
rdp_logon_ratio,0.0
