total_events,events_per_minute,cnt_4624,cnt_4625,cnt_4648,cnt_4661,cnt_4672,cnt_4688,cnt_4696,cnt_4697,cnt_4698,cnt_4702,cnt_4720,cnt_4726,cnt_4728,cnt_4732,cnt_4738,cnt_4756,cnt_4768,cnt_4769,cnt_4770,cnt_4771,cnt_4773,cnt_4776,cnt_4798,cnt_4799,brute_force_score,lateral_move_score,persistence_score,priv_escalation_score,recon_score,execution_score,kerberos_score,logon_failure_ratio,entropy_eventids,distinct_eventids
1808,361.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.210409467597859,13
1757,351.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.2185100244611624,11
1571,314.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6542195736419816,6
1556,311.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6739049059351522,7
1473,294.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7253185737599384,8
1481,296.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.722329696193454,8
1503,300.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7417250152859736,9
1495,299.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8017621271443297,9
1507,301.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7811764307153222,9
1485,297.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.4480927871630704,12
