total_events,events_per_minute,cnt_1,cnt_3,cnt_7,cnt_8,cnt_9,cnt_10,cnt_11,cnt_12,cnt_13,cnt_800,cnt_4103,cnt_4104,cnt_4624,cnt_4625,cnt_4648,cnt_4656,cnt_4658,cnt_4661,cnt_4663,cnt_4672,cnt_4688,cnt_4696,cnt_4697,cnt_4698,cnt_4702,cnt_4703,cnt_4720,cnt_4726,cnt_4728,cnt_4732,cnt_4738,cnt_4756,cnt_4768,cnt_4769,cnt_4770,cnt_4771,cnt_4773,cnt_4776,cnt_4798,cnt_4799,cnt_5154,cnt_5156,cnt_5158,cnt_5447,brute_force_score,lateral_move_score,persistence_score,priv_escalation_score,recon_score,execution_score,kerberos_score,credential_dump_score,image_load_score,registry_mod_score,powershell_score,wfp_network_score,remote_thread_score,raw_access_score,network_conn_score,file_create_score,process_create_sys_score,rights_adjust_score,object_access_score,logon_failure_ratio,monitored_event_ratio,credential_dump_per_min,image_load_per_min,registry_mod_per_min,powershell_per_min,remote_thread_per_min,network_conn_per_min,process_create_sys_per_min,entropy_eventids,distinct_eventids,distinct_monitored,brute_force_score_roll3_mean,brute_force_score_roll3_std,brute_force_score_delta,lateral_move_score_roll3_mean,lateral_move_score_roll3_std,lateral_move_score_delta,persistence_score_roll3_mean,persistence_score_roll3_std,persistence_score_delta,priv_escalation_score_roll3_mean,priv_escalation_score_roll3_std,priv_escalation_score_delta,recon_score_roll3_mean,recon_score_roll3_std,recon_score_delta,execution_score_roll3_mean,execution_score_roll3_std,execution_score_delta,kerberos_score_roll3_mean,kerberos_score_roll3_std,kerberos_score_delta,credential_dump_score_roll3_mean,credential_dump_score_roll3_std,credential_dump_score_delta,image_load_score_roll3_mean,image_load_score_roll3_std,image_load_score_delta,registry_mod_score_roll3_mean,registry_mod_score_roll3_std,registry_mod_score_delta,powershell_score_roll3_mean,powershell_score_roll3_std,powershell_score_delta,wfp_network_score_roll3_mean,wfp_network_score_roll3_std,wfp_network_score_delta,remote_thread_score_roll3_mean,remote_thread_score_roll3_std,remote_thread_score_delta,raw_access_score_roll3_mean,raw_access_score_roll3_std,raw_access_score_delta,network_conn_score_roll3_mean,network_conn_score_roll3_std,network_conn_score_delta,file_create_score_roll3_mean,file_create_score_roll3_std,file_create_score_delta,process_create_sys_score_roll3_mean,process_create_sys_score_roll3_std,process_create_sys_score_delta,rights_adjust_score_roll3_mean,rights_adjust_score_roll3_std,rights_adjust_score_delta,object_access_score_roll3_mean,object_access_score_roll3_std,object_access_score_delta,total_events_roll3_mean,total_events_roll3_std,total_events_delta,events_per_minute_roll3_mean,events_per_minute_roll3_std,events_per_minute_delta,entropy_eventids_roll3_mean,entropy_eventids_roll3_std,entropy_eventids_delta,distinct_eventids_roll3_mean,distinct_eventids_roll3_std,distinct_eventids_delta,logon_failure_ratio_roll3_mean,logon_failure_ratio_roll3_std,logon_failure_ratio_delta,monitored_event_ratio_roll3_mean,monitored_event_ratio_roll3_std,monitored_event_ratio_delta
10271,2054.2,6,10,494,0,1,4088,96,3628,1373,0,0,0,0,0,0,84,168,0,84,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,43,0,0,0,0,0,0,6,0,4088,494,5001,0,83,0,1,10,96,6,0,336,0.0,0.9853957745107584,817.6,98.8,1000.2,0.0,0.0,2.0,1.2,2.1376816204458633,22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10267,2053.4,6,9,494,0,2,4086,96,3629,1373,0,0,0,0,0,0,84,168,0,84,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,40,0,0,0,0,0,0,6,0,4086,494,5002,0,78,0,2,9,96,6,0,336,0.0,0.985195285867342,817.2,98.8,1000.4,0.0,0.0,1.8,1.2,2.1368912172503753,22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4088.0,0.0,-2.0,494.0,0.0,0.0,5001.0,0.0,1.0,0.0,0.0,0.0,83.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,-1.0,96.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,10271.0,0.0,-4.0,2054.2,0.0,-0.7999999999997272,2.1376816204458633,0.0,-0.0007904031954879542,22.0,0.0,0.0,0.0,0.0,0.0,0.9853957745107584,0.0,-0.00020048864341648542
10113,2022.6,6,7,494,0,2,4088,96,3631,1372,0,0,0,0,0,0,52,104,0,52,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,44,0,0,0,0,0,0,6,0,4088,494,5003,0,83,0,2,7,96,6,0,208,0.0,0.9881340848412934,817.6,98.8,1000.6,0.0,0.0,1.4,1.2,2.0633579198347682,22,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4087.0,1.4142135623730951,2.0,494.0,0.0,0.0,5001.5,0.7071067811865476,1.0,0.0,0.0,0.0,80.5,3.5355339059327378,5.0,0.0,0.0,0.0,1.5,0.7071067811865476,0.0,9.5,0.7071067811865476,-2.0,96.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,-128.0,10269.0,2.8284271247461903,-154.0,2053.8,0.5656854249492059,-30.800000000000182,2.1372864188481193,0.0005588994594010488,-0.0735332974156071,22.0,0.0,0.0,0.0,0.0,0.0,0.9852955301890503,0.00014176687931072776,0.0029387989739514397
10125,2025.0,6,8,494,0,2,4104,96,3630,1372,0,0,0,0,0,0,52,104,0,52,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,41,0,0,0,0,0,0,6,0,4104,494,5002,0,78,0,2,8,96,6,0,208,0.0,0.9880493827160494,820.8,98.8,1000.4,0.0,0.0,1.6,1.2,2.0613809014912827,23,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4087.3333333333335,1.1547005383792186,16.0,494.0,0.0,0.0,5002.0,1.0,-1.0,0.0,0.0,0.0,81.33333333333333,2.88675134594813,-5.0,0.0,0.0,0.0,1.6666666666666667,0.5773502691896257,0.0,8.666666666666666,1.5275252316519465,1.0,96.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,293.3333333333333,73.9008344562721,0.0,10217.0,90.08884503644167,12.0,2043.3999999999999,18.01776900728849,2.400000000000091,2.112643585843669,0.04268446836682569,-0.001977018343485515,22.0,0.0,1.0,0.0,0.0,0.0,0.9862417150731312,0.0016419032945411691,-8.470212524402942e-05
10117,2023.4,6,8,494,0,2,4102,96,3630,1372,0,0,0,0,0,0,52,104,0,52,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,38,0,0,0,0,0,0,6,0,4102,494,5002,0,72,0,2,8,96,6,0,208,0.0,0.9880399327863991,820.4,98.8,1000.4,0.0,0.0,1.6,1.2,2.0579622709660645,23,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4092.6666666666665,9.86576572463256,-2.0,494.0,0.0,0.0,5002.333333333333,0.5773502691895601,0.0,0.0,0.0,0.0,79.66666666666667,2.88675134594813,-6.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.999999999999999,0.0,96.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,250.66666666666666,73.90083445627208,0.0,10168.333333333334,85.65823564219235,-8.0,2033.6666666666667,17.131647128438786,-1.599999999999909,2.0872100128588085,0.04303653915837195,-0.0034186305252181803,22.333333333333332,0.5773502691896263,0.0,0.0,0.0,0.0,0.9871262511415616,0.0016728011777215322,-9.449929650240385e-06
1652,330.4,1,1,38,0,1,1310,5,202,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,1310,38,239,0,54,0,1,1,5,1,0,0,0.0,0.9981840193704601,262.0,7.6,47.8,0.0,0.0,0.2,0.2,1.1421691308860977,13,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,-6.0,0.0,0.0,0.0,4098.0,8.717797887081465,-2792.0,494.0,0.0,-456.0,5002.333333333333,0.5773502691895601,-4763.0,0.0,0.0,0.0,77.66666666666667,5.507570547286104,-18.0,0.0,0.0,0.0,2.0,0.0,-1.0,7.666666666666667,0.5773502691896233,-7.0,96.0,0.0,-91.0,6.0,0.0,-5.0,0.0,0.0,0.0,208.0,0.0,-208.0,10118.333333333334,6.1101009266131205,-8465.0,2023.6666666666667,1.2220201853265606,-1693.0,2.0609003640973715,0.0027297332871198746,-0.9157931400799668,22.666666666666668,0.5773502691896263,-10.0,0.0,0.0,0.0,0.9880744667812472,5.184650523459169e-05,0.010144086584060963
3106,621.2,8,4,509,0,1,1541,26,676,100,0,0,0,2,0,0,22,44,0,19,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,35,0,0,4,0,0,0,9,0,1541,509,776,0,68,0,1,4,26,8,0,85,0.0,0.975853187379266,308.2,101.8,155.2,0.0,0.0,0.8,1.6,2.2281991445065246,28,16,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.4641016151377544,9.0,0.0,0.0,0.0,3172.0,1612.5396119165569,231.0,342.0,263.27172275046934,471.0,3414.3333333333335,2749.9193321501875,537.0,0.0,0.0,0.0,68.0,12.489995996796798,14.0,0.0,0.0,0.0,1.6666666666666667,0.5773502691896258,0.0,5.666666666666667,4.041451884327381,3.0,65.66666666666667,52.53887449625594,21.0,4.333333333333333,2.8867513459481287,7.0,0.0,0.0,0.0,138.66666666666666,120.08885599144217,85.0,7298.0,4889.581065899204,1454.0,1459.6000000000001,977.9162131798411,290.80000000000007,1.7538374344478151,0.5297230473985618,1.0860300136204268,19.666666666666668,5.773502691896258,15.0,0.0,0.0,0.0,0.991424444957636,0.005853965067129233,-0.022330831991194122
3129,625.8,8,4,509,0,1,1537,26,693,107,0,0,0,2,0,0,22,44,0,19,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,33,0,0,4,0,0,0,9,0,1537,509,800,0,65,0,1,4,26,8,0,85,0.0,0.9741131351869607,307.4,101.8,160.0,0.0,0.0,0.8,1.6,2.243822370628569,28,16,0.0,0.0,0.0,1.3333333333333333,2.3094010767585034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.58257569495584,0.0,0.0,0.0,0.0,2317.6666666666665,1549.5884399844151,-4.0,347.0,267.7069293088993,0.0,2005.6666666666667,2608.7549393021436,24.0,0.0,0.0,0.0,64.66666666666667,9.451631252505218,-3.0,0.0,0.0,0.0,1.3333333333333333,0.5773502691896258,0.0,4.333333333333333,3.5118845842842457,0.0,42.333333333333336,47.648014998878324,0.0,5.0,3.605551275463989,0.0,0.0,0.0,0.0,97.66666666666667,104.57692543450175,0.0,4958.333333333333,4526.3020594447,23.0,991.6666666666666,905.2604118889406,4.599999999999909,1.8094435154528956,0.5841116986522843,0.015623226122044365,21.333333333333332,7.637626158259735,0.0,0.0,0.0,0.0,0.9873590465120418,0.011180975759909806,-0.0017400521923052192
3176,635.2,8,3,509,0,1,1530,26,743,108,0,0,0,2,0,0,22,44,0,19,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,35,0,0,4,0,0,0,9,0,1530,509,851,0,68,0,1,3,26,8,0,85,0.0,0.9741813602015114,306.0,101.8,170.2,0.0,0.0,0.6,1.6,2.247729159575811,27,16,0.0,0.0,0.0,2.6666666666666665,2.3094010767585034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.196152422706632,0.0,0.0,0.0,0.0,1462.6666666666667,132.22833786043324,-7.0,352.0,271.93197678831376,0.0,605.0,317.19237065225605,51.0,0.0,0.0,0.0,62.333333333333336,7.371114795831997,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.7320508075688763,-1.0,19.0,12.124355652982178,0.0,5.666666666666667,4.041451884327381,0.0,0.0,0.0,0.0,56.666666666666664,49.07477288111826,0.0,2629.0,846.1849679591315,47.0,525.8000000000001,169.23699359183047,9.400000000000091,1.8713968820070637,0.6315780680583528,0.003906788947241946,23.0,8.660254037844387,-1.0,0.0,0.0,0.0,0.9827167806455623,0.013423246654134064,6.82250145506158e-05
3450,690.0,9,3,551,0,1,1539,26,763,118,0,0,0,3,0,0,57,112,0,53,3,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,33,0,0,6,0,0,0,10,0,1539,551,881,0,67,0,1,3,26,9,4,222,0.0,0.9620289855072464,307.8,110.2,176.2,0.0,0.0,0.6,1.8,2.4959496028683033,29,17,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,1536.0,5.567764362792625,9.0,509.0,0.0,42.0,809.0,38.30143600438843,30.0,0.0,0.0,0.0,67.0,1.7320508075688876,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.6666666666666665,0.5773502691896257,0.0,26.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,4.0,85.0,0.0,137.0,3137.0,35.67912554978546,274.0,627.4,7.135825110046428,54.799999999999955,2.2399168915703016,0.010334164076380624,0.24822044329249238,27.666666666666668,0.5773502691896263,2.0,0.0,0.0,0.0,0.9747158942559127,0.0009855152964186379,-0.012152374694265
