feature,importance
events_per_minute,0.11463856584176693
total_events,0.11199687934569837
distinct_eventids,0.09507360645976204
entropy_eventids,0.0909233037688603
cnt_4688,0.08711713944710364
execution_score,0.08262013418399719
cnt_4648,0.050883411696764955
cnt_4702,0.04983198278047145
priv_escalation_score,0.04161260901527859
lateral_move_score,0.039680638786481405
cnt_4624,0.03617802158529088
cnt_4672,0.03590744280691499
recon_score,0.029932080516477406
cnt_4697,0.028445281781051646
cnt_4799,0.0265817580971237
cnt_4728,0.015636589615677907
persistence_score,0.015048263217131121
cnt_4798,0.014211193703314437
cnt_4738,0.012851949097259433
cnt_4732,0.011772180077763457
cnt_4720,0.009056968175810157
