event_id,n_attack,n_normal,p_attack,p_normal,lift,chi2
12,72887,151160,0.204396,0.354195,0.577,8303.89
13,36219,82554,0.101568,0.193439,0.525,5891.64
10,79490,59015,0.222913,0.138283,1.612,4287.27
5447,5490,88,0.015396,0.000206,74.663,3429.25
7,32720,19551,0.091756,0.045812,2.003,3348.19
800,41739,32364,0.117048,0.075835,1.543,1900.38
5154,2632,208,0.007381,0.000487,15.144,1387.27
5158,4191,2209,0.011753,0.005176,2.271,560.32
11,2147,4987,0.006021,0.011685,0.515,372.92
4103,32323,32304,0.090643,0.075694,1.197,286.68
4945,412,0,0.001155,0.0,999.0,268.62
4703,3096,2066,0.008682,0.004841,1.793,236.96
9,1114,511,0.003124,0.001197,2.609,189.38
5156,3872,3062,0.010858,0.007175,1.513,162.22
3,2047,1370,0.00574,0.00321,1.788,155.34
4688,721,295,0.002022,0.000691,2.925,144.49
1,731,303,0.00205,0.00071,2.887,143.96
5,702,306,0.001969,0.000717,2.746,128.84
8,196,2,0.00055,5e-06,117.285,124.35
4946,8,282,2.2e-05,0.000661,0.034,116.5
2004,8,282,2.2e-05,0.000661,0.034,116.5
4689,663,301,0.001859,0.000705,2.636,114.52
5441,114,0,0.00032,0.0,999.0,74.33
2,395,174,0.001108,0.000408,2.717,71.39
4670,251,75,0.000704,0.000176,4.005,70.94
4658,10826,11311,0.030359,0.026504,1.145,55.67
4656,5475,5662,0.015353,0.013267,1.157,32.41
4624,364,234,0.001021,0.000548,1.862,30.95
4627,364,234,0.001021,0.000548,1.862,30.95
4663,5204,5392,0.014594,0.012634,1.155,30.03
4690,5385,5644,0.015101,0.013225,1.142,26.46
4672,268,179,0.000752,0.000419,1.792,20.46
22,143,85,0.000401,0.000199,2.013,14.81
4673,1092,1570,0.003062,0.003679,0.832,11.84
18,392,332,0.001099,0.000778,1.413,11.82
4104,587,543,0.001646,0.001272,1.294,10.25
4634,245,206,0.000687,0.000483,1.423,7.68
17,88,62,0.000247,0.000145,1.699,5.69
600,78,139,0.000219,0.000326,0.672,4.37
5145,71,107,0.000199,0.000251,0.794,1.24
23,652,800,0.001828,0.001875,0.975,0.12
4674,58,68,0.000163,0.000159,1.021,0.01
