feature,importance
wfp_network_score_roll3_std,128
cnt_4104,90
raw_access_score_roll3_std,85
wfp_network_score_roll3_mean,78
cnt_7,74
rights_adjust_score_roll3_std,73
registry_mod_score,67
cnt_12,65
registry_mod_score_roll3_std,65
credential_dump_score_roll3_mean,63
cnt_5158,63
monitored_event_ratio_delta,57
total_events,55
credential_dump_score_roll3_std,51
cnt_4624,48
entropy_eventids_delta,48
execution_score_roll3_std,47
file_create_score_roll3_std,46
lateral_move_score_roll3_std,45
registry_mod_score_roll3_mean,43
wfp_network_score,42
monitored_event_ratio_roll3_mean,40
monitored_event_ratio,38
entropy_eventids_roll3_std,36
cnt_13,35
cnt_4703,34
distinct_eventids,34
wfp_network_score_delta,32
distinct_eventids_roll3_std,32
file_create_score_roll3_mean,30
registry_mod_score_delta,29
cnt_9,28
rights_adjust_score_roll3_mean,27
entropy_eventids,26
monitored_event_ratio_roll3_std,25
network_conn_score_roll3_mean,22
lateral_move_score_roll3_mean,21
image_load_score,20
image_load_score_roll3_std,19
cnt_10,18
raw_access_score_roll3_mean,17
object_access_score_roll3_std,16
cnt_5156,15
cnt_3,15
recon_score_roll3_mean,15
entropy_eventids_roll3_mean,14
image_load_score_roll3_mean,14
credential_dump_score_delta,13
total_events_roll3_std,12
events_per_minute_delta,11
total_events_roll3_mean,11
registry_mod_per_min,11
distinct_monitored,10
file_create_score_delta,9
network_conn_score_roll3_std,9
events_per_minute,9
process_create_sys_score_roll3_std,8
cnt_11,7
object_access_score_delta,7
total_events_delta,6
network_conn_score_delta,6
raw_access_score,5
cnt_4656,5
powershell_score,4
network_conn_score,4
cnt_4688,3
credential_dump_score,3
image_load_per_min,3
events_per_minute_roll3_std,3
rights_adjust_score,2
object_access_score,2
cnt_4648,2
cnt_1,2
object_access_score_roll3_mean,2
distinct_eventids_delta,2
execution_score_roll3_mean,2
powershell_per_min,1
cnt_4658,1
cnt_4702,1
process_create_sys_score_roll3_mean,1
process_create_sys_score_delta,1
events_per_minute_roll3_mean,1
distinct_eventids_roll3_mean,1
file_create_score,1
credential_dump_per_min,1
cnt_4663,0
cnt_800,0
priv_escalation_score,0
lateral_move_score,0
execution_score,0
cnt_4728,0
priv_escalation_score_roll3_mean,0
process_create_sys_score,0
network_conn_per_min,0
process_create_sys_per_min,0
